Description,Location,Links,State,Area,Price,Bedrooms,Bathrooms,Agent_number,Added_on,Updated_on
standard 3 bedroom,By Abc Cargo Jahi Abuja,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-by-abc-cargo-jahi-abuja-9GCKJ,Abuja,Jahi,2000000,3,3,8160442385,22 Feb 2022,22 Feb 2022
newly built 5 bedroom with a bq,Guzape Abuja,https://www.propertypro.ng/property/5-bedroom-house-for-rent-guzape-abuja-1GCKH,Abuja,Guzape,15000000,5,5,8160442385,22 Feb 2022,22 Feb 2022
a standard 3 bedroom with a bq,By Ebeano Supermarket Gaduwa Abuja,https://www.propertypro.ng/property/3-bedroom-house-for-rent-by-ebeano-supermarket-gaduwa-abuja-8GCKF,Abuja,Gaduwa,3500000,3,3,8160442385,22 Feb 2022,22 Feb 2022
standard one bedroom,By Coza Guzape Abuja,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-by-coza-guzape-abuja-4GCJU,Abuja,Guzape,1000000,1,1,8160442385,22 Feb 2022,22 Feb 2022
serviced 3 bedroom flat,Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ajah-lagos-9GCBZ,Lagos,Ajah,2000000,3,3,7030820139,20 Feb 2022,22 Feb 2022
5 bedroom semi detached duplex,Ologolo Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-ologolo-lekki-lagos-9GCEN,Lagos,Lekki,6000000,5,6,9035137760,21 Feb 2022,22 Feb 2022
newly built 4 units of 4bedroom terrace house,Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-banana-island-ikoyi-lagos-7GCGZ,Lagos,Ikoyi,25000000,4,4,7030820139,21 Feb 2022,22 Feb 2022
newly built one bedroom,Jabi Abuja,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-jabi-abuja-4GCFS,Abuja,Jabi,1800000,1,1,8160442385,21 Feb 2022,22 Feb 2022
executive 2 bedroom penthouse,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-4GCCA,Lagos,Lekki,3500000,2,2,7030820139,20 Feb 2022,22 Feb 2022
self serviced self contain,Ilasan Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ilasan-lekki-lagos-0GCGH,Lagos,Lekki,1000000,1,1,9067320607,21 Feb 2022,22 Feb 2022
2bedroom flat,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-1GCCA,Lagos,Lekki,3500000,2,2,7030820139,20 Feb 2022,22 Feb 2022
newly built spacious self contain apartment,Ologolo Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ologolo-lekki-lagos-7GCGF,Lagos,Lekki,1000000,1,1,9067320607,21 Feb 2022,22 Feb 2022
furnished room in a shared apartment,Ilasan Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ilasan-lekki-lagos-7GBZL,Lagos,Lekki,1500000,1,1,9067320607,19 Feb 2022,22 Feb 2022
standard 3 bedroom with a bq,Garki 2 Abuja,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-garki-2-abuja-3GCGF,Abuja,2,1800000,3,3,8160442385,21 Feb 2022,22 Feb 2022
spacious studio apartment,Idado Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-idado-lekki-lagos-4GCGW,Lagos,Lekki,1300000,1,1,9067320607,21 Feb 2022,22 Feb 2022
recently renovated city view 4 bedroom apartment + bq + gym + tennis court + squash + pool+gym etc in ocean parade banana island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,12000000,4,4,8124269637,23 Dec 2021,24 Feb 2022
serviced spacious bq,Ikate Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ikate-lekki-lagos-6GCHG,Lagos,Lekki,1000000,1,1,9067320607,21 Feb 2022,22 Feb 2022
serviced room self contain,"Close To Sweet Sensation , Few Buildings Off Herbert Macaulay Alagomeji Yaba Lagos",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-close-to-sweet-sensation-few-buildings-off-herbert-macaulay-alagomeji-yaba-lagos-8GCAD,Lagos,Yaba,1200000,1,1,7066063908,19 Feb 2022,22 Feb 2022
5 bedroom detached duplex,Osapa London Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-osapa-london-lekki-lagos-1FYED,Lagos,Lekki,7000000,5,6,9035137760,21 Jan 2022,22 Feb 2022
5 bedroom penthouse with bq,Adeola Odeku Victoria Island Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-adeola-odeku-victoria-island-lagos-1FYEC,Lagos,Island,12000000,5,6,9035137760,21 Jan 2022,22 Feb 2022
4 bedroom semi detached house with a bq,Osapa London Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-3FYQY,Lagos,Lekki,6000000,4,5,9035137760,25 Jan 2022,22 Feb 2022
fully furnished 4 bedroom apartment,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-banana-island-estate-banana-island-ikoyi-lagos-1FYWQ,Lagos,Ikoyi,19000000,4,5,9035137760,27 Jan 2022,22 Feb 2022
classic newly built 2 bedroom apartment,Protea Street Peninsula Estate Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-protea-street-peninsula-estate-ajah-lagos-1FZAX,Lagos,Ajah,2500000,2,2,8160412420,28 Jan 2022,22 Feb 2022
4 bedroom terrace duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-0FWTH,Lagos,Lekki,4500000,4,5,9035137760,10 Jan 2022,22 Feb 2022
4 bedroom semi detached duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-7FVTF,Lagos,Lekki,5000000,4,4,9035137760,28 Dec 2021,22 Feb 2022
4 bedroom terrace duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-9FXDH,Lagos,Lekki,3500000,4,5,9035137760,13 Jan 2022,22 Feb 2022
4 bedroom detached duplex,Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-0FVRG,Lagos,Lekki,6000000,4,5,9035137760,28 Dec 2021,22 Feb 2022
4 bedroom detached duplex,Agungi Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-agungi-lekki-lagos-4FWWT,Lagos,Lekki,5500000,4,5,9035137760,11 Jan 2022,22 Feb 2022
fully serviced 4bedroom terrace duplex with bq.,Oniru Victoria Island Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-oniru-victoria-island-lagos-2FZQW,Lagos,Island,8000000,4,5,9035137760,02 Feb 2022,22 Feb 2022
4 bedroom semi detached duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-8FWTM,Lagos,Lekki,5000000,4,5,9035137760,10 Jan 2022,22 Feb 2022
luxury 5 bedroom detached duplex,Agungi Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-agungi-lekki-lagos-6FZWQ,Lagos,Lekki,6000000,5,6,9035137760,03 Feb 2022,22 Feb 2022
well built 4 bedroom semi detached duplex,Ikate Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikate-lekki-lagos-1FXDJ,Lagos,Lekki,120000000,4,5,9035137760,13 Jan 2022,22 Feb 2022
a standard beautiful 3 bedroom bungalow,Meiran Via Joke Ayo Alagbado Abule Egba Lagos,https://www.propertypro.ng/property/house-for-rent-meiran-via-joke-ayo-alagbado-abule-egba-lagos-5FWVU,Lagos,Egba,10000000,3,3,9061623299,11 Jan 2022,22 Feb 2022
spacious 3 bedroom flats,Adeola Odeku Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-adeola-odeku-victoria-island-lagos-4GBHX,Lagos,Island,5500000,3,3,7085348881,14 Feb 2022,22 Feb 2022
4 bedroom terrace,Ikate Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikate-lekki-lagos-2GBJD,Lagos,Lekki,5000000,4,4,7085348881,14 Feb 2022,22 Feb 2022
newly built mini flat,Osapa London Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-osapa-london-lekki-lagos-3FVUL,Lagos,Lekki,1700000,1,2,9061623299,29 Dec 2021,22 Feb 2022
high class 3 bedroom apartment + bq+ tennis +squash+gym+etc @n20m,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7FXZF,Lagos,Ikoyi,20000000,3,3,8124269637,20 Jan 2022,24 Feb 2022
4 bedroom terrace duplex,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-ikoyi-lagos-0FYAJ,Lagos,Ikoyi,18000000,4,5,9035137760,20 Jan 2022,22 Feb 2022
4 bedroom fully furnished semi detached duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-4FXGY,Lagos,Lekki,6500000,4,5,9035137760,14 Jan 2022,22 Feb 2022
newly built n nicely done modern 2 bedrooms ground flat,Ifako Area Ifako Gbagada Gbagada Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ifako-area-ifako-gbagada-gbagada-lagos-0GALE,Lagos,Gbagada,1600000,2,2,7066063908,07 Feb 2022,22 Feb 2022
4 bedroom terrace,Pinnacle Filling Station Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-pinnacle-filling-station-lekki-phase-1-lekki-lagos-4FXJP,Lagos,Lekki,6000000,4,5,9035137760,15 Jan 2022,22 Feb 2022
newly renovated 2 bedroom apartment,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-1GBHV,Lagos,Lekki,4000000,2,1,7085348881,14 Feb 2022,22 Feb 2022
4 bedroom fully detached duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-9FZHJ,Lagos,Lekki,4000000,4,5,9035137760,31 Jan 2022,22 Feb 2022
a tastefully and solidly built 5 bedroom detached duplex with 2rooms boys quarters and 2units of 2bedroom guest chalet,Wuse 2 Abuja,https://www.propertypro.ng/property/5-bedroom-house-for-rent-wuse-2-abuja-2FWZC,Abuja,2,25000000,5,6,9035137760,12 Jan 2022,22 Feb 2022
2 bedroom apartment,Ikate Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-ikate-lekki-lagos-7FYQC,Lagos,Lekki,4000000,2,3,9035137760,25 Jan 2022,22 Feb 2022
luxurious executive 4 bedroom apartment,Ikoyi Ikoyi S.w Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-ikoyi-ikoyi-sw-ikoyi-lagos-0FVCE,Lagos,Ikoyi,14000000,4,5,7066063908,19 Dec 2021,22 Feb 2022
luxury 1 bedroom apartment,"Gerard Road, Ikoyi Gerard Road Ikoyi Lagos",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-gerard-road-ikoyi-gerard-road-ikoyi-lagos-6GBHY,Lagos,Ikoyi,4000000,1,1,7085348881,14 Feb 2022,22 Feb 2022
4 bedroom maisonette,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-ikoyi-lagos-8FWYQ,Lagos,Ikoyi,15000000,4,5,9035137760,12 Jan 2022,22 Feb 2022
4 bedroom terrace duplex,Badore Ajah Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-badore-ajah-lagos-6FYTT,Lagos,Ajah,3000000,4,5,9035137760,26 Jan 2022,22 Feb 2022
4 bedroom semi detached duplex,Pinnacle Filling Station Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-pinnacle-filling-station-lekki-phase-1-lekki-lagos-7FXGB,Lagos,Lekki,7500000,4,5,9035137760,14 Jan 2022,22 Feb 2022
4 bedroom semi detached duplex,Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-7FWYT,Lagos,Lekki,5000000,4,5,9035137760,12 Jan 2022,22 Feb 2022
newly built 4 bedroom apartment,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-ikoyi-lagos-8FRNE,Lagos,Ikoyi,15000000,4,5,9035137760,16 Nov 2021,22 Feb 2022
4 bedroom terrace duplex with a room bq,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-5FWDN,Lagos,Lekki,7500000,4,5,9035137760,04 Jan 2022,22 Feb 2022
high class 3 bedroom apartment + bq+ tennis +squash+gym+etc @n20m,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7FXZF,Lagos,Ikoyi,20000000,3,3,8124269637,20 Jan 2022,24 Feb 2022
2bedroom luxury terrace duplex,Peace Estate Sangotedo Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-peace-estate-sangotedo-ajah-lagos-5FZCH,Lagos,Ajah,2000000,2,3,9035137760,28 Jan 2022,22 Feb 2022
3 bedroom apartment,Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-ikoyi-lagos-5GBTB,Lagos,Ikoyi,8000000,3,3,8139265236,17 Feb 2022,22 Feb 2022
3 bedroom apartment,Ilasan Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ilasan-lekki-lagos-1GBVY,Lagos,Lekki,2800000,3,3,9067320607,17 Feb 2022,22 Feb 2022
4 bedroom semi detached duplex,Chevron Toll Gate Orchid Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-toll-gate-orchid-chevron-lekki-lagos-4FZHM,Lagos,Lekki,5000000,4,5,9035137760,31 Jan 2022,22 Feb 2022
4 bedroom semi detached duplex,Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-6FVBR,Lagos,Lekki,5000000,4,5,9035137760,19 Dec 2021,22 Feb 2022
3 bedroom apartment,Banana Island Road Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-banana-island-road-ikoyi-lagos-4GAAX,Lagos,Ikoyi,10000000,3,4,9035137760,04 Feb 2022,22 Feb 2022
4 bedroom terrace duplex,Chevron Drive Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-drive-chevron-lekki-lagos-7FZVU,Lagos,Lekki,3500000,4,5,9035137760,03 Feb 2022,22 Feb 2022
4 bedroom semi detached duplex,Pinnacle Filling Station Oniru Victoria Island Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-pinnacle-filling-station-oniru-victoria-island-lagos-1FXGC,Lagos,Island,7500000,4,5,9035137760,14 Jan 2022,22 Feb 2022
brand new 4 bedroom semi detached house with bq;,Agungi Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-agungi-lekki-lagos-9FVHS,Lagos,Lekki,5500000,4,5,9035137760,22 Dec 2021,22 Feb 2022
exquisitely finished 5 bedroom ultra luxurious penthouse on 2 floors with private cinema for sale,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/5-bedroom-flat-apartment-for-sale-old-ikoyi-ikoyi-lagos-2FVQF,Lagos,Ikoyi,2000000,5,5,7057302511,27 Dec 2021,24 Feb 2022
newly built contemporary 4 bedroom terrace duplex with bq,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-1FVUX,Lagos,Lekki,7000000,4,5,9035137760,29 Dec 2021,22 Feb 2022
fully furnished 3 bedroom apartment,Oniru Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-oniru-victoria-island-lagos-1GABV,Lagos,Island,9000000,3,4,9035137760,04 Feb 2022,22 Feb 2022
fully serviced 3 bedroom apartment with bq,Oniru Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-oniru-victoria-island-lagos-1FYEG,Lagos,Island,7000000,3,4,9035137760,21 Jan 2022,22 Feb 2022
3 bedroom terrace duplex,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-banana-island-estate-banana-island-ikoyi-lagos-6FYWS,Lagos,Ikoyi,14000000,3,4,9035137760,27 Jan 2022,22 Feb 2022
3 bedroom flat with bq,"Prime Water Gardens,off Freedom Way Lekki Ikate Lekki Lagos",https://www.propertypro.ng/property/3-bedroom-house-for-rent-prime-water-gardensoff-freedom-way-lekki-ikate-lekki-lagos-1GBRT,Lagos,Lekki,4000000,3,3,9029062684,16 Feb 2022,22 Feb 2022
brand new 3 bedroom apartment with bq,Adeola Odeku Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-adeola-odeku-victoria-island-lagos-9FYEB,Lagos,Island,10000000,3,4,9035137760,21 Jan 2022,22 Feb 2022
executive decent standard 2 bedroom flat,Abule Oja Yaba Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-abule-oja-yaba-lagos-8FYVM,Lagos,Yaba,1500000,2,3,7066063908,26 Jan 2022,22 Feb 2022
5 bedroom detached duplex,Osapa London Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-osapa-london-lekki-lagos-7FXPJ,Lagos,Lekki,8000000,5,6,9035137760,17 Jan 2022,22 Feb 2022
newly built luxury 3 bedroom apartment with bq,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-5FWST,Lagos,Lekki,6000000,3,3,7051883525,10 Jan 2022,22 Feb 2022
4 bedroom terrace and semi detached duplex,"Orchid, Toll Gate Chevron Lekki Lagos",https://www.propertypro.ng/property/4-bedroom-house-for-rent-orchid-toll-gate-chevron-lekki-lagos-9FZHH,Lagos,Lekki,4000000,4,5,9035137760,31 Jan 2022,22 Feb 2022
decent mini flat,Off Fadipe Street Shomolu Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-off-fadipe-street-shomolu-lagos-6GBHM,Lagos,Shomolu,350000,1,1,9061623299,14 Feb 2022,22 Feb 2022
waterfront 3 bedroom apartment +bq + swimming pool + sauna + gym + underground parking,Ligali Ayorinde Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ligali-ayorinde-victoria-island-lagos-6FYCN,Lagos,Island,16100000,3,3,8124269637,21 Jan 2022,24 Feb 2022
4 bedroom terrace duplex with bq,Tiamiyu Savage Victoria Island Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-tiamiyu-savage-victoria-island-lagos-8FYBJ,Lagos,Island,10000000,4,4,8039139778,21 Jan 2022,22 Feb 2022
executive 4 bedroom detached duplex,Millennium Estate Millenuim Ups Gbagada Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-millennium-estate-millenuim-ups-gbagada-lagos-6FXJL,Lagos,Gbagada,4000000,4,4,9061623299,15 Jan 2022,22 Feb 2022
luxury 5 bedroom detached duplex,Idado Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-idado-lekki-lagos-1FZWR,Lagos,Lekki,6000000,5,6,9035137760,03 Feb 2022,22 Feb 2022
4 bedroom terrace duplex,Osapa London Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-7GASR,Lagos,Lekki,4500000,4,5,9035137760,09 Feb 2022,22 Feb 2022
4 bedroom semi detached duplex with bq,Agungi Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-agungi-lekki-lagos-6FYTS,Lagos,Lekki,4500000,4,5,9035137760,26 Jan 2022,22 Feb 2022
fully fitted 5 bedroom duplex that features a pool and an amazing compound space,Ikota Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-ikota-lekki-lagos-0FUTV,Lagos,Lekki,8000000,5,6,9035137760,15 Dec 2021,22 Feb 2022
3 bedroom terrace duplex,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-banana-island-estate-banana-island-ikoyi-lagos-4FYWS,Lagos,Ikoyi,10000000,3,4,9035137760,27 Jan 2022,22 Feb 2022
4 bedroom semi detached duplex,Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-6FVQS,Lagos,Lekki,5000000,4,5,9035137760,27 Dec 2021,22 Feb 2022
3 bedroom terrace duplex,Lekki Palm City Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lekki-palm-city-ajah-lagos-0FWWT,Lagos,Ajah,3500000,3,4,9035137760,11 Jan 2022,22 Feb 2022
36 plots of land,Onitsha Road Industrial Layout Owerri Imo,https://www.propertypro.ng/property/land-for-sale-onitsha-road-industrial-layout-owerri-imo-7EPJY,Imo,Owerri,300000000,3,3,8032675538,23 Apr 2021,21 Feb 2022
4 bedroom semi detached duplex with bq,Lekky County Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekky-county-ikota-lekki-lagos-2FYXU,Lagos,Lekki,5000000,4,4,9034504273,27 Jan 2022,22 Feb 2022
4 bedroom semi detached duplex,Maitama Abuja,https://www.propertypro.ng/property/4-bedroom-house-for-rent-maitama-abuja-2FXBG,Abuja,Maitama,15000000,4,5,9035137760,13 Jan 2022,22 Feb 2022
3 bedroom apartment,Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-banana-island-ikoyi-lagos-8FYWN,Lagos,Ikoyi,15000000,3,4,9035137760,27 Jan 2022,22 Feb 2022
newly built serviced 3 bedroom flat with bq.,Nike Art Gallery Ikate Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-nike-art-gallery-ikate-lekki-lagos-9FYMT,Lagos,Lekki,5000000,3,4,9035137760,24 Jan 2022,22 Feb 2022
3 bedroom apartment with bq,Ikate Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-ikate-lekki-lagos-0FYQM,Lagos,Lekki,5000000,3,4,9035137760,25 Jan 2022,22 Feb 2022
newly built serviced 3bedroom flat with bq.,Nike Art Gallery Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-nike-art-gallery-lekki-phase-1-lekki-lagos-8FYMT,Lagos,Lekki,5000000,3,4,9035137760,24 Jan 2022,22 Feb 2022
brand new fully serviced 3bedroom flat with bq,Oniru Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-oniru-victoria-island-lagos-5FZMA,Lagos,Island,6000000,3,4,9035137760,01 Feb 2022,22 Feb 2022
lovely and fully serviced 3 bedroom apartment,Oniru Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-oniru-victoria-island-lagos-9GBAS,Lagos,Island,7500000,3,4,9035137760,11 Feb 2022,22 Feb 2022
